,accuracy,auroc,auprc,f1_score,prec,rec,sensitivity,spec,aprec,br_score,tn,fp,fn,tp
NORM,0.8338368580060423,0.910185721303997,0.8526764425919209,0.8227126208777584,0.7734265734265734,0.878707627118644,0.878707627118644,0.7987577639751553,0.8637716869931328,0.21815128929941713,1929,486,229,1659
Acute MI,0.8052521496630258,0.7751120915933858,0.311643469704569,0.06053811659192825,0.031914893617021274,0.5869565217391305,0.5869565217391305,0.8076109936575053,0.10003222959346214,0.25493148499866064,3438,819,19,27
Old MI,0.7438996049267953,0.8322679592476303,0.6677341228386318,0.6030259365994237,0.4807581849511775,0.808695652173913,0.808695652173913,0.7233782129742962,0.5482627527957487,0.29725736825309385,2364,904,198,837
STTC,0.7624912851498954,0.8507761241568681,0.6832071862089227,0.6278222869628551,0.5170965806838632,0.798887859128823,0.798887859128823,0.7503101736972705,0.6723171984418586,0.24621135623767873,2419,805,217,862
CD,0.793864745526377,0.825300932891965,0.659302086476615,0.6138441445363518,0.5353075170842825,0.7193877551020408,0.7193877551020408,0.8158290701173638,0.6420467552695842,0.2936572328498389,2711,612,275,705
HYP,0.7822449453869393,0.8548373866638023,0.5814351716799159,0.4797334813992227,0.34394904458598724,0.7926605504587156,0.7926605504587156,0.7807344332091538,0.5315393942465454,0.25908926091883566,2934,824,113,432
PAC,0.6688356960260283,0.5980336309190293,0.26095347742664826,0.049366244162775186,0.02600140548137737,0.4868421052631579,0.4868421052631579,0.6721078779276083,0.028703034001502703,0.2591504207046127,2841,1386,39,37
PVC,0.7139205205670462,0.7858216019109091,0.45326660687461107,0.22334384858044165,0.13082039911308205,0.7629310344827587,0.7629310344827587,0.7111274871039057,0.13869282573779537,0.261811205966824,2895,1176,55,177
AFIB/AFL,0.7824773413897281,0.8978424995217,0.5519947919359163,0.36152796725784453,0.22844827586206898,0.8660130718954249,0.8660130718954249,0.7760820615461597,0.4717862764607389,0.2598942719141789,3102,895,41,265
TACHY,0.8324424819893098,0.859675965269991,0.43570814422144566,0.23052294557097117,0.13705583756345177,0.7248322147651006,0.7248322147651006,0.8363023591718826,0.2493418678709787,0.26937258833231964,3474,680,41,108
BRADY,0.7190332326283988,0.799582643764963,0.3992519720196191,0.12454742939898626,0.06814580031695722,0.7226890756302521,0.7226890756302521,0.7189292543021033,0.16642594564893198,0.25370755900167846,3008,1176,33,86
